web_name,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Perrone,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,332,2257,0
Phillips,0.0,47,0.0,0,4,3.1,16.2,9.3,6.0,2139,4628,0
Rodrigo,3.8,56,5.0,10,63,100.5,426.8,347.0,232.0,1258401,1333690,7
Sergio Gómez,0.0,39,0.9,0,5,3.8,19.4,14.6,4.0,137698,147793,0
Steffen,0.0,39,0.2,0,0,0.0,0.0,0.0,0.0,19001,17158,0
Stones,0.8,53,2.7,0,19,11.1,53.4,49.3,8.0,116803,2244667,0
Walker,2.8,54,16.7,6,59,63.5,243.2,329.2,63.0,2362892,1281787,4
Alex Telles,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,0,710,0
Amad,0.2,44,0.0,1,1,4.3,7.4,12.5,23.0,1467,3996,0
Antony,1.8,68,0.6,1,26,50.8,120.8,230.2,162.0,30357,113353,0
B.Fernandes,1.0,82,10.0,2,68,160.4,464.6,812.9,327.0,1386862,2998414,10
B.Williams,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,1224,12761,0
Bailly,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,2895,16407,0
Casemiro,0.0,53,2.0,0,21,40.3,167.2,112.6,123.0,141945,446072,0
Dalot,1.0,51,3.3,0,58,77.0,348.0,327.2,93.0,620737,508684,8
Elanga,5.2,50,2.0,5,76,104.5,367.8,261.9,417.0,359023,224940,4
Eriksen,0.8,58,0.4,1,33,45.0,175.6,193.8,79.0,46924,77759,4
Fernandez,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,5187,25342,0
Fred,0.0,50,0.0,0,0,0.0,0.0,0.0,0.0,322,10788,0
Garnacho,5.0,48,5.1,4,55,90.4,209.6,252.3,447.0,655502,394297,2
Hannibal,0.4,43,0.1,0,11,9.0,48.2,29.8,13.0,45827,40360,0
Heaton,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,3624,8933,0
Henderson,1.8,44,0.3,3,9,12.2,121.4,0.0,0.0,34475,44174,0
Lindelof,0.0,45,0.3,0,42,33.4,199.4,93.7,40.0,86111,84990,3
Maguire,0.2,42,1.3,0,36,32.0,218.8,39.4,60.0,417362,358094,2
Mainoo,1.4,44,0.2,1,12,13.0,83.8,30.8,15.0,29604,17413,0
Malacia,0.0,43,0.0,0,0,0.0,0.0,0.0,0.0,647,4716,0
Martial,0.2,64,0.3,0,25,24.5,67.2,85.0,97.0,33880,46710,2
Martinez,0.0,47,2.2,0,5,11.9,74.0,43.5,2.0,84380,579641,0
McTominay,1.8,47,1.6,1,64,75.5,340.4,78.8,334.0,392743,247651,5
Mengi,1.8,40,2.1,0,26,34.4,262.6,20.6,60.0,300163,108692,1
Pellistri,0.6,43,0.2,0,13,13.3,47.0,19.3,66.0,51695,47021,0
R.Varane,1.4,49,2.3,0,28,27.7,182.0,28.7,66.0,445922,613336,2
Rashford,2.8,84,10.7,7,60,90.3,245.0,224.0,436.0,801720,4314203,0
Sancho,0.0,67,0.4,0,3,3.6,9.8,14.8,12.0,6817,69170,0
Shaw,1.2,52,3.2,0,21,34.7,161.8,164.2,21.0,285614,2344652,0
Shoretire,0.0,44,0.2,0,0,0.0,0.0,0.0,0.0,34198,33784,0
Van de Beek,0.0,47,0.0,0,1,1.6,0.0,10.3,6.0,1483,4570,0
Wan-Bissaka,0.6,44,2.1,1,29,30.2,186.2,83.6,31.0,568584,671633,5
Almirón,3.0,62,4.0,1,60,78.3,240.2,238.7,307.0,769755,1129227,4
Anderson,0.0,42,1.7,0,19,25.7,83.2,88.8,85.0,337335,719223,0
Ashby,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,0,2250,0
